Timestamp,Station,District,Route,Direction of travel,Lane type,Station length,Samples,% Observed,total_flow,Delay(V_t=35),Delay(V_t=40),Delay(V_t=45),Delay(V_t=50),Delay(V-t=55),Delay(V_t=60)
5/1/2023 0:00,312897,3,51,N,FR,,2876,100,498,,,,,,
5/1/2023 0:00,312898,3,51,N,ML,0.479,8610,100,66148,1.5,6.1,12.5,18.3,25.9,38.7
5/1/2023 0:00,312899,3,51,N,FR,,2872,100,1294,,,,,,
5/1/2023 0:00,312900,3,51,S,ML,0.338,8540,100,64564,0,0,0,0,0.9,5.3
5/1/2023 0:00,312901,3,51,S,OR,,2850,100,3128,,,,,,
5/1/2023 0:00,312940,3,51,N,ML,0.686,8576,100,80923,23.5,40.8,61,87.9,121,159.7
5/1/2023 0:00,312941,3,51,N,OR,,8619,100,10340,,,,,,
5/1/2023 0:00,312942,3,51,S,ML,0.548,8547,100,71570,14.7,25.7,36.1,45.6,55.7,72.2
5/1/2023 0:00,312943,3,51,S,OR,,2851,100,3639,,,,,,
5/1/2023 0:00,312944,3,51,N,ML,0.198,8528,100,69451,0.1,1.2,3.8,6.9,11.9,18.8
5/1/2023 0:00,312945,3,51,N,OR,,2847,100,976,,,,,,
5/1/2023 0:00,312946,3,51,S,ML,0.326,8539,100,63571,23.9,31.4,37.6,42.9,48.3,57.1
5/1/2023 0:00,312947,3,51,S,OR,,2847,0,,,,,,,
5/1/2023 0:00,313000,3,50,W,ML,0.089,8,0,65474,0,0,0,0,0,0
5/1/2023 0:00,313001,3,50,W,OR,,5640,99,9641,,,,,,
5/1/2023 0:00,313002,3,50,W,FR,,2820,99,14722,,,,,,
5/1/2023 0:00,313003,3,50,W,ML,0.374,0,0,80710,0,0,0,0,0.5,5.5
5/1/2023 0:00,313004,3,50,W,OR,,0,0,,,,,,,
5/1/2023 0:00,313005,3,50,W,ML,0.265,0,0,57437,0,0,0,0,0.1,1.4
5/1/2023 0:00,313006,3,50,W,OR,,0,0,,,,,,,
5/1/2023 0:00,313007,3,50,W,FR,,0,0,,,,,,,
5/1/2023 0:00,313010,3,50,W,ML,0.336,0,0,59787,0,0,0,0.2,2.1,9.4
5/1/2023 0:00,313011,3,50,W,OR,,0,0,,,,,,,
5/1/2023 0:00,313012,3,50,W,FR,,0,0,,,,,,,
5/1/2023 0:00,313035,3,50,W,ML,0.459,0,0,61792,0,0,0,0,0,0
5/1/2023 0:00,313036,3,50,W,OR,,0,0,,,,,,,
5/1/2023 0:00,313037,3,50,W,ML,0.814,0,0,55207,0,0,0,0,0,6.8
5/1/2023 0:00,313038,3,50,W,OR,,0,0,,,,,,,
5/1/2023 0:00,313054,3,50,E,OR,,5570,99,9398,,,,,,
5/1/2023 0:00,313055,3,50,E,ML,0.025,11130,74,47323,0,0,0,0,0,0
5/1/2023 0:00,313056,3,50,E,OR,,5570,98,1180,,,,,,
